Direction,coded_direction,IWZ,Latitude,Longitude,Sensor,Route,Group,Group_new,ID,Linear-Reference,new,ProjectName,Portable,APS,Device
EB,1,0,41.5931,-93.6657,I-235 @ Sign Truss-EB,I-235,I235,I235,1,0,0,I235,0,0,Sensor
WB,2,0,41.5933,-93.6657,I-235 @ Sign Truss-WB,I-235,I235,I235,2,0,0,I235,0,0,Sensor
EB,1,0,41.5909,-93.6755,I-235 at 42nd STREET EB-EB,I-235,I235,I235,3,0,0,I235,0,0,Sensor
WB,2,0,41.5909,-93.6755,I-235 at 42nd STREET EB-WB,I-235,I235,I235,4,0,0,I235,0,0,Sensor
EB,1,0,41.5931,-93.7158,I-235 EB @ 8th Street Loop-EB,I-235,I235,I235,5,0,0,I235,0,0,Sensor
WB,2,0,41.5931,-93.7158,I-235 EB @ 8th Street Loop-WB,I-235,I235,I235,6,0,0,I235,0,0,Sensor
EB,1,0,41.6409,-93.5756,I-235 EB @ DMS,I-235,I235,I235,7,0,0,I235,0,0,Sensor
EB,1,0,41.6146,-93.5775,I-235 EB @ Guthrie Ave,I-235,I235,I235,8,0,0,I235,0,0,Sensor
EB,1,0,41.5932,-93.6545,I-235 EB 28th STREET-EB,I-235,I235,I235,9,0,0,I235,0,0,Sensor
WB,2,0,41.5934,-93.6546,I-235 EB 28th STREET-WB,I-235,I235,I235,10,0,0,I235,0,0,Sensor
EB,1,0,41.5945,-93.606,I-235 EB 9th STREET WALL-EB,I-235,I235,I235,11,0,0,I235,0,0,Sensor
EB,1,0,41.6029,-93.5805,I-235 EB at E 21st St-EB,I-235,I235,I235,12,0,0,I235,0,0,Sensor
WB,2,0,41.6029,-93.5805,I-235 EB at E 21st St-WB,I-235,I235,I235,13,0,0,I235,0,0,Sensor
EB,1,0,41.595,-93.6137,I-235 EB at WALKWAY-EB,I-235,I235,I235,14,0,0,I235,0,0,Sensor
EB,1,0,41.5927,-93.7003,I-235 EB EAST OF 63RD-EB,I-235,I235,I235,15,0,0,I235,0,0,Sensor
WB,2,0,41.5927,-93.7003,I-235 EB EAST OF 63RD-WB,I-235,I235,I235,16,0,0,I235,0,0,Sensor
EB,1,0,41.5921,-93.7481,I-235 EB from Vly West Dr-EB,I-235,I235,I235,17,0,0,I235,0,0,Sensor
WB,2,0,41.5921,-93.7481,I-235 EB from Vly West Dr-WB,I-235,I235,I235,18,0,0,I235,0,0,Sensor
EB,1,0,41.5952,-93.647,I-235 EB to MLK-EB,I-235,I235,I235,19,0,0,I235,0,0,Sensor
WB,2,0,41.5952,-93.647,I-235 EB to MLK-WB,I-235,I235,I235,20,0,0,I235,0,0,Sensor
EB,1,0,41.592,-93.7586,I-235 EB to VALLEY WEST-EB,I-235,I235,I235,21,0,0,I235,0,0,Sensor
WB,2,0,41.592,-93.7586,I-235 EB to VALLEY WEST-WB,I-235,I235,I235,22,0,0,I235,0,0,Sensor
EB,1,0,41.5976,-93.5926,I-235 EB West of University,I-235,I235,I235,23,0,0,I235,0,0,Sensor
EB,1,0,41.6271,-93.575,I-235 NB EUCLID LOOP-EB,I-235,I235,I235,24,0,0,I235,0,0,Sensor
WB,2,0,41.6271,-93.575,I-235 NB EUCLID LOOP-WB,I-235,I235,I235,25,0,0,I235,0,0,Sensor
EB,1,0,41.6316,-93.5749,I-235 NB from EUCLID-EB,I-235,I235,I235,26,0,0,I235,0,0,Sensor
WB,2,0,41.6316,-93.5749,I-235 NB from EUCLID-WB,I-235,I235,I235,27,0,0,I235,0,0,Sensor
WB,2,0,41.6409,-93.5758,I-235 WB @ DMS,I-235,I235,I235,28,0,0,I235,0,0,Sensor
WB,2,0,41.6147,-93.5778,I-235 WB @ Guthrie Ave,I-235,I235,I235,29,0,0,I235,0,0,Sensor
WB,2,0,41.5956,-93.6045,I-235 WB 9th STREET WALL-WB,I-235,I235,I235,30,0,0,I235,0,0,Sensor
WB,2,0,41.5955,-93.6135,I-235 WB at WALKWAY-WB,I-235,I235,I235,31,0,0,I235,0,0,Sensor
EB,1,0,41.6076,-93.5792,I-235 WB at Washington-EB,I-235,I235,I235,32,0,0,I235,0,0,Sensor
WB,2,0,41.6076,-93.5792,I-235 WB at Washington-WB,I-235,I235,I235,33,0,0,I235,0,0,Sensor
EB,1,0,41.5935,-93.7314,I-235 WB E of 22nd STREET-EB,I-235,I235,I235,34,0,0,I235,0,0,Sensor
WB,2,0,41.5935,-93.7314,I-235 WB E of 22nd STREET-WB,I-235,I235,I235,35,0,0,I235,0,0,Sensor
EB,1,0,41.5961,-93.6193,I-235 WB WEST END of BRIDGE-EB,I-235,I235,I235,36,0,0,I235,0,0,Sensor
WB,2,0,41.5961,-93.6193,I-235 WB WEST END of BRIDGE-WB,I-235,I235,I235,37,0,0,I235,0,0,Sensor
WB,2,0,41.5974,-93.5924,I-235 WB West of University,I-235,I235,I235,38,0,0,I235,0,0,Sensor
