Direction,coded_direction,IWZ,Latitude,Longitude,Name,SegmentLength,Group,Group_new,ID,Linear-Reference,order,ProjectName,Portable,APS,Device,GID
EB,1,0,42.078054,-93.566808,I-235 EB from Vly West Dr-EB,0,I235E,I235E,1,1.96,1,I235E,0,0,Sensor,80816
EB,1,0,42.034307,-93.570337,I-235 WB E of 22nd STREET-EB,0,I235E,I235E,2,2.84,2,I235E,0,0,Sensor,80817
EB,1,0,42.023259,-93.571193,I-235 EB @ 8th Street Loop-EB,0,I235E,I235E,3,3.64,3,I235E,0,0,Sensor,80819
EB,1,0,42.007312,-93.570974,I-235 @ Sign Truss-EB,0,I235E,I235E,4,6.27,4,I235E,0,0,Sensor,80824
EB,1,0,42.008083,-93.570977,I-235 EB 28th STREET-EB,0,I235E,I235E,5,6.85,5,I235E,0,0,Sensor,80825
EB,1,0,42.003934,-93.570946,I-235 EB to MLK-EB,0,I235E,I235E,6,7.27,6,I235E,0,0,Sensor,80826
EB,1,0,41.979355,-93.570454,I-235 WB WEST END of BRIDGE-EB,0,I235E,I235E,7,8.71,7,I235E,0,0,Sensor,80829
EB,1,0,41.949573,-93.569597,I-235 EB at WALKWAY-EB,0,I235E,I235E,8,9.01,8,I235E,0,0,Sensor,80829
EB,1,0,41.919277,-93.570074,I-235 EB 9th STREET WALL-EB,0,I235E,I235E,9,9.4,9,I235E,0,0,Sensor,80830
EB,1,0,41.893732,-93.570946,I-235 EB West of University,0,I235E,I235E,10,10.13,10,I235E,0,0,Sensor,80831
EB,1,0,41.877697,-93.571049,I-235 EB at E 21st St-EB,0,I235E,I235E,11,10.85,11,I235E,0,0,Sensor,81492
EB,1,0,41.849689,-93.570935,I-235 WB at Washington-EB,0,I235E,I235E,12,11.19,12,I235E,0,0,Sensor,81493
EB,1,0,41.820534,-93.570718,I-235 EB @ Guthrie Ave,0,I235E,I235E,13,11.68,13,I235E,0,0,Sensor,82153
EB,1,0,41.791254,-93.570257,I-235 NB EUCLID LOOP-EB,0,I235E,I235E,14,12.55,14,I235E,0,0,Sensor,82813
EB,1,0,41.761241,-93.569112,I-235 NB from EUCLID-EB,0,I235E,I235E,15,12.86,15,I235E,0,0,Sensor,83473
