Name,Direction,MM,
I-235 NB from EUCLID-EB,E,12.86,15
I-235 NB EUCLID LOOP-EB,E,12.55,14
I-235 EB @ Guthrie Ave,E,11.68,13
I-235 WB at Washington-EB,E,11.19,12
I-235 EB at E 21st St-EB,E,10.85,11
I-235 EB West of University,E,10.13,10
I-235 EB 9th STREET WALL-EB,E,9.4,9
I-235 EB at WALKWAY-EB,E,9.01,8
I-235 WB WEST END of BRIDGE-EB,E,8.71,7
I-235 EB to MLK-EB,E,7.27,6
I-235 EB 28th STREET-EB,E,6.85,5
I-235 @ Sign Truss-EB,E,6.27,4
I-235 EB @ 8th Street Loop-EB,E,3.64,3
I-235 WB E of 22nd STREET-EB,E,2.84,2
I-235 EB from Vly West Dr-EB,E,1.96,1
I-235 NB from EUCLID-WB,W,1.79,1
I-235 NB EUCLID LOOP-WB,W,2.09,2
I-235 WB @ Guthrie Ave,W,2.96,3
I-235 WB at Washington-WB,W,3.46,4
I-235 EB at E 21st St-WB,W,3.79,5
I-235 WB West of University,W,4.51,6
I-235 WB 9th STREET WALL-WB,W,5.15,7
I-235 WB WEST END of BRIDGE-WB,W,5.92,8
I-235 EB to MLK-WB,W,7.36,9
I-235 EB 28th STREET-WB,W,7.78,10
I-235 @ Sign Truss-WB,W,8.36,11
I-235 EB @ 8th Street Loop-WB,W,10.99,12
I-235 WB E of 22nd STREET-WB,W,11.79,13
I-235 EB from Vly West Dr-WB,W,12.66,14
